[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015745s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015820s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000565s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000592s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000708s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000621s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002679s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000929s ]
[ 2018-02-20T14:07:30+08:00 ] /admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000997s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.001156s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001249s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000806s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000872s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | SQL: SHOW COLUMNS FROM `ningbo_user` [ RunTime:0.000898s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `ningbo_user` LIMIT 1   [ RunTime:0.000219s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | SQL: SHOW COLUMNS FROM `ningbo_userinfo` [ RunTime:0.000943s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | SQL: SELECT user.id AS id,user.registime AS registime,user.`lock` AS `lock`,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM ningbo_user user LEFT JOIN ningbo_userinfo userinfo ON user.id = userinfo.user_id LIMIT 0,10   [ RunTime:0.000665s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001521s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001595s ]
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-02-20T14:07:31+08:00 ] /admin.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
